Event_ID	Event_Type	GeneID	geneSymbol	ID	Gene_Event_ID	Event_Group	JuncType	comparison	IncFormLen	SkipFormLen	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncLevel1	IncLevel2	IncLevelDifference	IJC_SAMPLE_1_sum	SJC_SAMPLE_1_sum	IJC_SAMPLE_2_sum	SJC_SAMPLE_2_sum	SAMPLE_1_TotalReadCount	SAMPLE_2_TotalReadCount	EventTotalReadCount	PSI_SAMPLE_1	PSI_SAMPLE_2	DSE_Category
Event_1000	mxe_jc	ENSG00000115977	AAK1	5142	1	Mutually Exclusive Exon	JC	Control_vs_shRING1A.B	245	251	7,2,12	6,2,2	0,0,2	10,4,7	0.544,0.506,0.86	0.0,0.0,0.226	0.561	21	10	2	21	31	23	54	0.67741935483871	0.0869565217391304	Same Direction
Event_1000	mxe_jcec	ENSG00000115977	AAK1	5142	1	Mutually Exclusive Exon	JCEC	Control_vs_shRING1A.B	245	251	7,2,12	6,2,2	0,0,2	10,4,7	0.544,0.506,0.86	0.0,0.0,0.226	0.561	21	10	2	21	31	23	54	0.67741935483871	0.0869565217391304	Same Direction
Event_1000	mxe_jc	ENSG00000115977	AAK1	5216	1	Mutually Exclusive Exon	JC	shRYBP_vs_shRING1A.B	245	251	5,4,4	0,4,2	0,0,2	10,4,7	1.0,0.506,0.672	0.0,0.0,0.226	0.651	13	6	2	21	19	23	42	0.68421052631579	0.0869565217391304	Same Direction
Event_1000	mxe_jcec	ENSG00000115977	AAK1	5216	1	Mutually Exclusive Exon	JCEC	shRYBP_vs_shRING1A.B	245	251	5,4,4	0,4,2	0,0,2	10,4,7	1.0,0.506,0.672	0.0,0.0,0.226	0.651	13	6	2	21	19	23	42	0.68421052631579	0.0869565217391304	Same Direction
Event_1001	mxe_jc	ENSG00000131061	ZNF341	5149	1	Mutually Exclusive Exon	JC	Control_vs_shRING1A.B	298	298	12,13,20	2,3,3	5,6,8	4,6,14	0.857,0.812,0.87	0.556,0.5,0.364	0.373	45	8	19	24	53	43	96	0.849056603773585	0.441860465116279	Unique to shRING1A.B vs Control
Event_1002	mxe_jc	ENSG00000283761	AC118553.2	5189	1	Mutually Exclusive Exon	JC	Control_vs_shRING1A.B	268	298	23,27,25	2,0,2	7,21,35	8,4,6	0.927,1.0,0.933	0.493,0.854,0.866	0.216	75	4	63	18	79	81	160	0.949367088607595	0.777777777777778	Unique to shRING1A.B vs Control
Event_1003	mxe_jc	ENSG00000148737	TCF7L2	5193	1	Mutually Exclusive Exon	JC	Control_vs_shRING1A.B	251	282	1,0,1	22,17,35	6,9,4	38,48,49	0.049,0.0,0.031	0.151,0.174,0.084	-0.11	2	74	19	135	76	154	230	0.0263157894736842	0.123376623376623	Unique to shRING1A.B vs Control
Event_1003	mxe_jcec	ENSG00000148737	TCF7L2	5193	1	Mutually Exclusive Exon	JCEC	Control_vs_shRING1A.B	251	282	1,0,1	22,17,35	6,9,4	38,48,49	0.049,0.0,0.031	0.151,0.174,0.084	-0.11	2	74	19	135	76	154	230	0.0263157894736842	0.123376623376623	Unique to shRING1A.B vs Control
Event_1004	mxe_jc	ENSG00000182551	ADI1	5209	1	Mutually Exclusive Exon	JC	Control_vs_shRING1A.B	269	298	413,367,485	251,246,377	356,317,443	385,327,446	0.646,0.623,0.588	0.506,0.518,0.524	0.103	1265	874	1116	1158	2139	2274	4413	0.591397849462366	0.490765171503958	Unique to shRING1A.B vs Control
Event_1005	mxe_jc	ENSG00000137075	RNF38	5248	1	Mutually Exclusive Exon	JC	Control_vs_shRING1A.B	298	298	0,0,0	36,10,20	0,0,10	27,26,22	0.0,0.0,0.0	0.0,0.0,0.312	-0.104	0	66	10	75	66	85	151	0	0.117647058823529	Unique to shRING1A.B vs Control
Event_1006	mxe_jc	ENSG00000002822	MAD1L1	5340	1	Mutually Exclusive Exon	JC	Control_vs_shRING1A.B	206	238	38,44,80	56,61,106	51,42,62	129,125,164	0.439,0.455,0.466	0.314,0.28,0.304	0.154	162	223	155	418	385	573	958	0.420779220779221	0.270506108202443	Same Direction
Event_1006	mxe_jcec	ENSG00000002822	MAD1L1	5340	1	Mutually Exclusive Exon	JCEC	Control_vs_shRING1A.B	206	238	38,44,80	56,61,106	51,42,62	129,125,164	0.439,0.455,0.466	0.314,0.28,0.304	0.154	162	223	155	418	385	573	958	0.420779220779221	0.270506108202443	Same Direction
Event_1006	mxe_jc	ENSG00000002822	MAD1L1	5421	1	Mutually Exclusive Exon	JC	shRYBP_vs_shRING1A.B	206	238	62,82,65	70,93,105	51,42,62	129,125,164	0.506,0.505,0.417	0.314,0.28,0.304	0.177	209	268	155	418	477	573	1050	0.438155136268344	0.270506108202443	Same Direction
Event_1006	mxe_jcec	ENSG00000002822	MAD1L1	5421	1	Mutually Exclusive Exon	JCEC	shRYBP_vs_shRING1A.B	206	238	62,82,65	70,93,105	51,42,62	129,125,164	0.506,0.505,0.417	0.314,0.28,0.304	0.177	209	268	155	418	477	573	1050	0.438155136268344	0.270506108202443	Same Direction
Event_1007	mxe_jc	ENSG00000204764	RANBP17	5387	1	Mutually Exclusive Exon	JC	Control_vs_shRING1A.B	298	215	9,13,22	2,0,0	5,5,9	5,6,3	0.765,1.0,1.0	0.419,0.375,0.684	0.429	44	2	19	14	46	33	79	0.956521739130435	0.575757575757576	Unique to shRING1A.B vs Control
Event_1009	mxe_jc	ENSG00000168385	SEPT2	5745	1	Mutually Exclusive Exon	JC	Control_vs_shRING1A.B	268	234	1,0,3	5,5,9	11,7,13	0,8,4	0.149,0.0,0.225	1.0,0.433,0.739	-0.599	4	19	31	12	23	43	66	0.173913043478261	0.72093023255814	Unique to shRING1A.B vs Control
Event_1009	mxe_jcec	ENSG00000168385	SEPT2	5745	1	Mutually Exclusive Exon	JCEC	Control_vs_shRING1A.B	268	234	1,0,3	5,5,9	11,7,13	0,8,4	0.149,0.0,0.225	1.0,0.433,0.739	-0.599	4	19	31	12	23	43	66	0.173913043478261	0.72093023255814	Unique to shRING1A.B vs Control
Event_101	a3ss_jc	ENSG00000123240	OPTN	5838	1	Alternative 5' Splice Site	JC	Control_vs_shRYBP	164	149	17,16,22	13,17,23	12,6,13	32,29,26	0.543,0.461,0.465	0.254,0.158,0.312	0.248	55	53	31	87	108	118	226	0.509259259259259	0.26271186440678	Common to shRING1A.B and shRYBP
Event_101	a3ss_jcec	ENSG00000123240	OPTN	5838	1	Alternative 5' Splice Site	JCEC	Control_vs_shRYBP	164	149	17,16,22	13,17,23	12,6,13	32,29,26	0.543,0.461,0.465	0.254,0.158,0.312	0.248	55	53	31	87	108	118	226	0.509259259259259	0.26271186440678	Common to shRING1A.B and shRYBP
Event_101	a3ss_jc	ENSG00000123240	OPTN	5869	1	Alternative 5' Splice Site	JC	Control_vs_shRING1A.B	164	149	17,16,22	13,17,23	7,22,16	42,35,56	0.543,0.461,0.465	0.132,0.363,0.206	0.256	55	53	45	133	108	178	286	0.509259259259259	0.252808988764045	Common to shRING1A.B and shRYBP
Event_101	a3ss_jcec	ENSG00000123240	OPTN	5869	1	Alternative 5' Splice Site	JCEC	Control_vs_shRING1A.B	164	149	17,16,22	13,17,23	7,22,16	42,35,56	0.543,0.461,0.465	0.132,0.363,0.206	0.256	55	53	45	133	108	178	286	0.509259259259259	0.252808988764045	Common to shRING1A.B and shRYBP
Event_1010	mxe_jc	ENSG00000168385	SEPT2	5746	2	Mutually Exclusive Exon	JC	Control_vs_shRING1A.B	268	250	1,0,3	25,25,35	11,14,13	19,21,46	0.036,0.0,0.074	0.351,0.383,0.209	-0.278	4	85	38	86	89	124	213	0.0449438202247191	0.306451612903226	Same Direction
Event_1010	mxe_jcec	ENSG00000168385	SEPT2	5746	2	Mutually Exclusive Exon	JCEC	Control_vs_shRING1A.B	268	250	1,0,3	25,25,35	11,14,13	19,21,46	0.036,0.0,0.074	0.351,0.383,0.209	-0.278	4	85	38	86	89	124	213	0.0449438202247191	0.306451612903226	Same Direction
Event_1010	mxe_jc	ENSG00000168385	SEPT2	5847	2	Mutually Exclusive Exon	JC	shRYBP_vs_shRING1A.B	268	250	3,3,0	26,29,23	11,14,13	19,21,46	0.097,0.088,0.0	0.351,0.383,0.209	-0.253	6	78	38	86	84	124	208	0.0714285714285714	0.306451612903226	Same Direction
Event_1010	mxe_jcec	ENSG00000168385	SEPT2	5847	2	Mutually Exclusive Exon	JCEC	shRYBP_vs_shRING1A.B	268	250	3,3,0	26,29,23	11,14,13	19,21,46	0.097,0.088,0.0	0.351,0.383,0.209	-0.253	6	78	38	86	84	124	208	0.0714285714285714	0.306451612903226	Same Direction
Event_1011	mxe_jc	ENSG00000172888	ZNF621	5867	1	Mutually Exclusive Exon	JC	Control_vs_shRING1A.B	276	230	12,11,37	0,1,8	21,10,37	0,0,0	1.0,0.902,0.794	1.0,1.0,1.0	-0.101	60	9	68	0	69	68	137	0.869565217391304	1	Same Direction
Event_1011	mxe_jcec	ENSG00000172888	ZNF621	5867	1	Mutually Exclusive Exon	JCEC	Control_vs_shRING1A.B	276	230	12,11,37	0,1,8	21,10,37	0,0,0	1.0,0.902,0.794	1.0,1.0,1.0	-0.101	60	9	68	0	69	68	137	0.869565217391304	1	Same Direction
Event_1011	mxe_jc	ENSG00000172888	ZNF621	5972	1	Mutually Exclusive Exon	JC	shRYBP_vs_shRING1A.B	276	230	16,5,18	2,6,1	21,10,37	0,0,0	0.87,0.41,0.938	1.0,1.0,1.0	-0.261	39	9	68	0	48	68	116	0.8125	1	Same Direction
Event_1011	mxe_jcec	ENSG00000172888	ZNF621	5972	1	Mutually Exclusive Exon	JCEC	shRYBP_vs_shRING1A.B	276	230	16,5,18	2,6,1	21,10,37	0,0,0	0.87,0.41,0.938	1.0,1.0,1.0	-0.261	39	9	68	0	48	68	116	0.8125	1	Same Direction
Event_1012	mxe_jc	ENSG00000173402	DAG1	5941	1	Mutually Exclusive Exon	JC	Control_vs_shRING1A.B	206	298	6,3,10	1,0,0	6,10,4	2,9,0	0.897,1.0,1.0	0.813,0.616,1.0	0.156	19	1	20	11	20	31	51	0.95	0.645161290322581	Unique to shRING1A.B vs Control
Event_1013	mxe_jc	ENSG00000175600	SUGCT	6108	1	Mutually Exclusive Exon	JC	Control_vs_shRING1A.B	241	293	39,20,23	12,6,18	19,12,18	28,20,28	0.798,0.802,0.608	0.452,0.422,0.439	0.298	82	36	49	76	118	125	243	0.694915254237288	0.392	Unique to shRING1A.B vs Control
Event_1013	mxe_jcec	ENSG00000175600	SUGCT	6108	1	Mutually Exclusive Exon	JCEC	Control_vs_shRING1A.B	241	293	39,20,23	12,6,18	19,12,18	28,20,28	0.798,0.802,0.608	0.452,0.422,0.439	0.298	82	36	49	76	118	125	243	0.694915254237288	0.392	Unique to shRING1A.B vs Control
Event_1014	mxe_jc	ENSG00000161010	MRNIP	6222	1	Mutually Exclusive Exon	JC	Control_vs_shRING1A.B	229	238	2,0,0	35,20,33	3,0,19	28,32,37	0.056,0.0,0.0	0.1,0.0,0.348	-0.131	2	88	22	97	90	119	209	0.0222222222222222	0.184873949579832	Unique to shRING1A.B vs Control
Event_1014	mxe_jcec	ENSG00000161010	MRNIP	6222	1	Mutually Exclusive Exon	JCEC	Control_vs_shRING1A.B	229	238	2,0,0	35,20,33	3,0,19	28,32,37	0.056,0.0,0.0	0.1,0.0,0.348	-0.131	2	88	22	97	90	119	209	0.0222222222222222	0.184873949579832	Unique to shRING1A.B vs Control
Event_1015	mxe_jc	ENSG00000125434	SLC25A35	6287	1	Mutually Exclusive Exon	JC	Control_vs_shRING1A.B	225	280	1,2,2	5,0,2	1,5,2	0,0,0	0.199,1.0,0.554	1.0,1.0,1.0	-0.416	5	7	8	0	12	8	20	0.416666666666667	1	Unique to shRING1A.B vs Control
Event_1015	mxe_jcec	ENSG00000125434	SLC25A35	6287	1	Mutually Exclusive Exon	JCEC	Control_vs_shRING1A.B	225	280	1,2,2	5,0,2	1,5,2	0,0,0	0.199,1.0,0.554	1.0,1.0,1.0	-0.416	5	7	8	0	12	8	20	0.416666666666667	1	Unique to shRING1A.B vs Control
Event_1016	mxe_jc	ENSG00000105865	DUS4L	6330	1	Mutually Exclusive Exon	JC	Control_vs_shRING1A.B	238	286	17,13,20	84,59,73	21,36,25	44,45,58	0.196,0.209,0.248	0.364,0.49,0.341	-0.181	50	216	82	147	266	229	495	0.18796992481203	0.358078602620087	Unique to shRING1A.B vs Control
Event_1016	mxe_jcec	ENSG00000105865	DUS4L	6330	1	Mutually Exclusive Exon	JCEC	Control_vs_shRING1A.B	238	286	17,13,20	84,59,73	21,36,25	44,45,58	0.196,0.209,0.248	0.364,0.49,0.341	-0.181	50	216	82	147	266	229	495	0.18796992481203	0.358078602620087	Unique to shRING1A.B vs Control
