Event_Group	condition	MuCoeffs	Estimate	Std. Error	t value	Pr(>|t|)	signif	mean_Observed_PSI	mean_Predicted_PSI
	shRING1A.B	conditionshRING1A.B	-0.0114099575228825	0.0596269676120409	-0.1913556563386	0.848248763714011			
	shRYBP	conditionshRYBP	0.158105254457069	0.0596186530567821	2.65194274527615	0.00800887537686604	*		
Alternative 3' Splice Site		Event_GroupAlternative 3' Splice Site	0.435853451817816	0.0410202917000729	10.625313320652	2.64050376789085e-26	*		
Alternative 5' Splice Site		Event_GroupAlternative 5' Splice Site	0.312758339403703	0.0532789713585136	5.87020228485936	4.41649607383995e-09	*		
Alternative 5' Splice Site	shRING1A.B	Event_GroupAlternative 5' Splice Site:conditionshRING1A.B	-0.0332181885541477	0.0770425238755201	-0.43116693071763	0.66635131423097		0.611780487804878	0.628131588068966
Alternative 5' Splice Site	shRYBP	Event_GroupAlternative 5' Splice Site:conditionshRYBP	-0.397344285658431	0.0764009203135087	-5.20077878679919	2.00270865992623e-07	*	0.598627306273063	0.599256385173216
Mutually Exclusive Exon		Event_GroupMutually Exclusive Exon	-0.501622222517778	0.0543097186461169	-9.23632519229859	2.78090037119452e-20	*		
Mutually Exclusive Exon	shRING1A.B	Event_GroupMutually Exclusive Exon:conditionshRING1A.B	0.231859673087856	0.0810717515895773	2.85993170915607	0.00424139658277378	*	0.502857142857143	0.504365115721613
Mutually Exclusive Exon	shRYBP	Event_GroupMutually Exclusive Exon:conditionshRYBP	0.252885984357715	0.0775040127425539	3.26287601646808	0.00110459559436169	*	0.516861111111111	0.538698167649327
Retained Intron		Event_GroupRetained Intron	-0.396767064840013	0.0555458544965399	-7.14305448059545	9.41870630948988e-13	*		
Retained Intron	shRING1A.B	Event_GroupRetained Intron:conditionshRING1A.B	0.365117919964253	0.0795633894670018	4.58901917590731	4.47846521442676e-06	*	0.557077881619938	0.586720931115646
Retained Intron	shRYBP	Event_GroupRetained Intron:conditionshRYBP	0.439576313946573	0.07968268533651	5.51658509110464	3.49627769960918e-08	*	0.591810185185185	0.632988374405391
Skipped Exon		Event_GroupSkipped Exon	0.471984923363514	0.0430804911981753	10.9558853726233	7.37646683406697e-28	*		
Skipped Exon	shRING1A.B	Event_GroupSkipped Exon:conditionshRING1A.B	-0.0659911038801839	0.0623759854675879	-1.05795689455639	0.290086965232114		0.662911974110032	0.671676575301773
Skipped Exon	shRYBP	Event_GroupSkipped Exon:conditionshRYBP	-0.167462279588278	0.0623282164015932	-2.68678119247446	0.00721995861436257	*	0.669747904577692	0.683421873099761
