Event_ID	JuncType	geneSymbol	GeneID	Event_Group	Gene_Event_ID	sample	read_count	max_count	sum_count	DSE_Category
Event_101	JC	OPTN	ENSG00000123240	Alternative 5' Splice Site	1	shRING1A.B	178	178	200	Common to shRING1A.B and shRYBP
Event_101	JCEC	OPTN	ENSG00000123240	Alternative 5' Splice Site	1	shRING1A.B	178	178	200	Common to shRING1A.B and shRYBP
Event_1010	JC	SEPT2	ENSG00000168385	Mutually Exclusive Exon	2	Control	89	169	297	Same Direction
Event_1010	JCEC	SEPT2	ENSG00000168385	Mutually Exclusive Exon	2	Control	89	169	297	Same Direction
Event_1010	JC	SEPT2	ENSG00000168385	Mutually Exclusive Exon	2	shRYBP	84	159	378	Same Direction
Event_1010	JCEC	SEPT2	ENSG00000168385	Mutually Exclusive Exon	2	shRYBP	84	159	378	Same Direction
Event_1010	JC	SEPT2	ENSG00000168385	Mutually Exclusive Exon	2	shRING1A.B	124	211	539	Same Direction
Event_1010	JCEC	SEPT2	ENSG00000168385	Mutually Exclusive Exon	2	shRING1A.B	124	211	539	Same Direction
Event_1011	JC	ZNF621	ENSG00000172888	Mutually Exclusive Exon	1	Control	69	69	87	Same Direction
Event_1011	JCEC	ZNF621	ENSG00000172888	Mutually Exclusive Exon	1	Control	69	69	87	Same Direction
Event_1011	JC	ZNF621	ENSG00000172888	Mutually Exclusive Exon	1	shRYBP	48	48	73	Same Direction
Event_1011	JCEC	ZNF621	ENSG00000172888	Mutually Exclusive Exon	1	shRYBP	48	48	73	Same Direction
Event_1011	JC	ZNF621	ENSG00000172888	Mutually Exclusive Exon	1	shRING1A.B	68	68	85	Same Direction
Event_1011	JCEC	ZNF621	ENSG00000172888	Mutually Exclusive Exon	1	shRING1A.B	68	68	85	Same Direction
Event_1012	JC	DAG1	ENSG00000173402	Mutually Exclusive Exon	1	Control	20	20	79	Unique to shRING1A.B vs Control
Event_1012	JC	DAG1	ENSG00000173402	Mutually Exclusive Exon	1	shRING1A.B	31	31	57	Unique to shRING1A.B vs Control
Event_1013	JC	SUGCT	ENSG00000175600	Mutually Exclusive Exon	1	Control	118	118	210	Unique to shRING1A.B vs Control
Event_1013	JCEC	SUGCT	ENSG00000175600	Mutually Exclusive Exon	1	Control	118	118	210	Unique to shRING1A.B vs Control
Event_1013	JC	SUGCT	ENSG00000175600	Mutually Exclusive Exon	1	shRING1A.B	125	152	277	Unique to shRING1A.B vs Control
Event_1013	JCEC	SUGCT	ENSG00000175600	Mutually Exclusive Exon	1	shRING1A.B	125	152	277	Unique to shRING1A.B vs Control
