comparison	DSE_Category	Event_Group	geneSymbol	GeneID	Gene_Event_ID	Event_ID	SAMPLE_1_TotalReadCount	SAMPLE_2_TotalReadCount	IncLevelDifference	meanReadCount	absDeltaPSI	coverageDeltaScore
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 5' Splice Site	CASC19	ENSG00000254166	1	Event_137	22	14	-0.747	18	0.747	13.446
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 5' Splice Site	ZNF133	ENSG00000125846	3	Event_39	7	14	0.498	10.5	0.498	5.229
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 5' Splice Site	SUGP1	ENSG00000105705	1	Event_9	26	21	-0.465	23.5	0.465	10.9275
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 5' Splice Site	LLGL2	ENSG00000073350	1	Event_15	6	40	0.464	23	0.464	10.672
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 5' Splice Site	FAM3A	ENSG00000071889	1	Event_167	34	32	0.463	33	0.463	15.279
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 5' Splice Site	FAM66C	ENSG00000226711	1	Event_161	21	33	0.426	27	0.426	11.502
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 5' Splice Site	CEP57L1	ENSG00000183137	1	Event_96	55	21	-0.41	38	0.41	15.58
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 5' Splice Site	FKBP1B	ENSG00000119782	1	Event_77	13	29	0.402	21	0.402	8.442
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 5' Splice Site	SETD4	ENSG00000185917	1	Event_1	36	23	-0.397	29.5	0.397	11.7115
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 5' Splice Site	CENPE	ENSG00000138778	1	Event_37	18	43	-0.391	30.5	0.391	11.9255
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 5' Splice Site	ZNF195	ENSG00000005801	1	Event_143	43	36	0.378	39.5	0.378	14.931
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 5' Splice Site	ATP11A	ENSG00000068650	3	Event_59	47	98	0.376	72.5	0.376	27.26
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 5' Splice Site	MAGIX	ENSG00000269313	1	Event_108	10	26	0.37	18	0.37	6.66
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 5' Splice Site	TSNARE1	ENSG00000171045	1	Event_138	55	60	0.327	57.5	0.327	18.8025
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 5' Splice Site	RHBDF1	ENSG00000007384	1	Event_25	28	30	-0.325	29	0.325	9.425
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 5' Splice Site	SNHG17	ENSG00000196756	1	Event_13	68	44	-0.323	56	0.323	18.088
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 5' Splice Site	SH3TC1	ENSG00000125089	2	Event_56	42	45	-0.302	43.5	0.302	13.137
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 5' Splice Site	ZNF780B	ENSG00000128000	1	Event_7	44	28	-0.299	36	0.299	10.764
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 5' Splice Site	RECQL	ENSG00000004700	1	Event_163	124	140	-0.296	132	0.296	39.072
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 5' Splice Site	TMEM131L	ENSG00000121210	1	Event_52	42	18	0.289	30	0.289	8.67
