Event_ID	Event_Group	condition	IncLevel	geneSymbol	sample	IncLevel_transformed	fitted	residuals_zscore
Event_1000	Mutually Exclusive Exon	Control	0.86	AAK1	Control_Sample_3	0.86	0.260886911494119	1.1596582390462
Event_1000	Mutually Exclusive Exon	shRYBP	1	AAK1	shRYBP_Sample_1	0.99999	0.347424484086476	2.63107557299303
Event_1000	Mutually Exclusive Exon	shRYBP	0.506	AAK1	shRYBP_Sample_2	0.506	0.347424484086476	0.428847184754428
Event_1000	Mutually Exclusive Exon	shRYBP	0.672	AAK1	shRYBP_Sample_3	0.672	0.347424484086476	0.616186671575638
Event_1000	Mutually Exclusive Exon	shRING1A.B	0	AAK1	shRING1A.B_Sample_1	1e-05	0.305570027050325	-1.32637146234582
Event_1000	Mutually Exclusive Exon	shRING1A.B	0	AAK1	shRING1A.B_Sample_2	1e-05	0.305570027050325	-1.32637146234582
Event_1000	Mutually Exclusive Exon	shRING1A.B	0.226	AAK1	shRING1A.B_Sample_3	0.226	0.305570027050325	0.229610428545507
Event_1001	Mutually Exclusive Exon	Control	0.857	ZNF341	Control_Sample_1	0.857	0.616090469248097	0.999649064162503
Event_1001	Mutually Exclusive Exon	Control	0.812	ZNF341	Control_Sample_2	0.812	0.616090469248097	0.748287941031721
Event_1001	Mutually Exclusive Exon	Control	0.87	ZNF341	Control_Sample_3	0.87	0.616090469248097	1.0813928534977
Event_1001	Mutually Exclusive Exon	shRING1A.B	0.556	ZNF341	shRING1A.B_Sample_1	0.556	0.666731390516766	-0.534197826799209
Event_1001	Mutually Exclusive Exon	shRING1A.B	0.5	ZNF341	shRING1A.B_Sample_2	0.5	0.666731390516766	-0.735510521855331
Event_1001	Mutually Exclusive Exon	shRING1A.B	0.364	ZNF341	shRING1A.B_Sample_3	0.364	0.666731390516766	-1.23837211486752
Event_1002	Mutually Exclusive Exon	Control	0.927	AC118553.2	Control_Sample_1	0.927	0.789509931771353	0.149605773447525
Event_1002	Mutually Exclusive Exon	Control	1	AC118553.2	Control_Sample_2	0.99999	0.789509931771353	2.12302253016656
Event_1002	Mutually Exclusive Exon	Control	0.933	AC118553.2	Control_Sample_3	0.933	0.789509931771353	0.183669680196259
Event_1002	Mutually Exclusive Exon	shRING1A.B	0.493	AC118553.2	shRING1A.B_Sample_1	0.493	0.82381704563254	-1.1967857279814
Event_1002	Mutually Exclusive Exon	shRING1A.B	0.854	AC118553.2	shRING1A.B_Sample_2	0.854	0.82381704563254	-0.331590319232677
Event_1002	Mutually Exclusive Exon	shRING1A.B	0.866	AC118553.2	shRING1A.B_Sample_3	0.866	0.82381704563254	-0.290560029265659
Event_1003	Mutually Exclusive Exon	Control	0.049	TCF7L2	Control_Sample_1	0.049	0.338706968459255	-0.414786740385616
Event_1003	Mutually Exclusive Exon	Control	0	TCF7L2	Control_Sample_2	1e-05	0.338706968459255	-1.84025292557363
Event_1003	Mutually Exclusive Exon	Control	0.031	TCF7L2	Control_Sample_3	0.031	0.338706968459255	-0.528440934845979
Event_1003	Mutually Exclusive Exon	shRING1A.B	0.151	TCF7L2	shRING1A.B_Sample_1	0.151	0.389691263275047	-0.244033019499349
Event_1003	Mutually Exclusive Exon	shRING1A.B	0.174	TCF7L2	shRING1A.B_Sample_2	0.174	0.389691263275047	-0.1932031929814
